sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 23, 2024 17:44:31

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
       +popToPushGray_buffercc:buffercc_59f7679412614c72b41c2615de2572f7	     14(14)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_59f7679412614c72b41c2615de2572f7	     14(14)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
      +fifo_rdpush:streamfifocc64_59f7679412614c72b41c2615de2572f7(DATA_WIDTH=1)	     54(26)	       0(0)	       8(8)	     47(33)	     0(0)	     0(0)	     0(0)	
       +popToPushGray_buffercc:buffercc_59f7679412614c72b41c2615de2572f7	     14(14)	       0(0)	       0(0)	       5(5)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_59f7679412614c72b41c2615de2572f7	     14(14)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
      +fifo_rd:efx_fifo_top_59f7679412614c72b41c2615de2572f7_renamed_due_excessive_length_1	      50(0)	      14(0)	      35(0)	      78(0)	     0(0)	     7(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_59f7679412614c72b41c2615de2572f7(FAMILY="TITANIUM",MODE="FWFT",WR_DEPTH=64,RD_DEPTH=64,WDATA_WIDTH=128,RDATA_WIDTH=128,WADDR_WIDTH=6,RADDR_WIDTH=6,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	     35(35)	     0(0)	     7(7)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_59f7679412614c72b41c2615de2572f7(FAMILY="TITANIUM",SYNC_CLK=0,MODE="FWFT",WR_DEPTH=64,WADDR_WIDTH=6,RADDR_WIDTH=6,PROG_FULL_ASSERT=33,PROG_FULL_NEGATE=33,PROG_EMPTY_NEGATE=2)	     50(50)	      14(0)	     35(35)	     43(19)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_59f7679412614c72b41c2615de2572f7(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_59f7679412614c72b41c2615de2572f7(STAGE=2,WIDTH=7)	       0(0)	       7(7)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_59f7679412614c72b41c2615de2572f7(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_59f7679412614c72b41c2615de2572f7(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_59f7679412614c72b41c2615de2572f7	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_59f7679412614c72b41c2615de2572f7(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_59f7679412614c72b41c2615de2572f7(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_59f7679412614c72b41c2615de2572f7(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_59f7679412614c72b41c2615de2572f7(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_addr_sync:efx_fifo_datasync_59f7679412614c72b41c2615de2572f7(STAGE=2,WIDTH=7)	       0(0)	       7(7)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_59f7679412614c72b41c2615de2572f7(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_59f7679412614c72b41c2615de2572f7(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_59f7679412614c72b41c2615de2572f7	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_59f7679412614c72b41c2615de2572f7(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_59f7679412614c72b41c2615de2572f7(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_59f7679412614c72b41c2615de2572f7(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +fifo_ack:streamfifocc64_59f7679412614c72b41c2615de2572f7(DATA_WIDTH=2)	     54(26)	       0(0)	       0(0)	     46(40)	     0(0)	     1(1)	     0(0)	
       +popToPushGray_buffercc:buffercc_59f7679412614c72b41c2615de2572f7	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_59f7679412614c72b41c2615de2572f7	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +ac_fifo:streamfifocc64_59f7679412614c72b41c2615de2572f7(DATA_WIDTH=52)	     54(26)	       0(0)	       0(0)	     42(37)	     0(0)	     3(3)	     0(0)	
       +popToPushGray_buffercc:buffercc_59f7679412614c72b41c2615de2572f7	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_59f7679412614c72b41c2615de2572f7	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +controller_main:ddr_3_controller_59f7679412614c72b41c2615de2572f7	 1145(1145)	   146(146)	   103(103)	   881(871)	     0(0)	     4(0)	     0(0)	
       +map_ram:user_dual_port_ram_59f7679412614c72b41c2615de2572f7(DATA_WIDTH=72,OUTPUT_REG="FALSE",RAM_INIT_FILE="ddr3_controller.bin")	       0(0)	       0(0)	       0(0)	     10(10)	     0(0)	     4(4)	     0(0)	
     +rst_top0:reset_ctrl_59f7679412614c72b41c2615de2572f7(NUM_RST=2,CYCLE=5,IN_RST_ACTIVE=2'b0,OUT_RST_ACTIVE=2'b0)	       2(0)	       2(0)	       0(0)	       1(0)	     0(0)	     0(0)	     0(0)	
      +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_59f7679412614c72b41c2615de2572f7(OUT_RST_ACTIVE="LOW",CYCLE=5)	       1(1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +genblk1[1].genblk1.genblk1.inst_sysclk_rstn:reset_sub_59f7679412614c72b41c2615de2572f7(OUT_RST_ACTIVE="LOW",CYCLE=5)	       1(1)	       1(1)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +phase_u0:phase_shift_59f7679412614c72b41c2615de2572f7 	     10(10)	       0(0)	       0(0)	     11(11)	     0(0)	     0(0)	     0(0)	
 +axi4_awar_mux:AXI4_AWARMux(AID_LEN=4)                     	       6(6)	       0(0)	       0(0)	     44(44)	     0(0)	     0(0)	     0(0)	
 +u_axi4_ctrl:axi4_ctrl                                     	   338(170)	      46(2)	    107(26)	    218(85)	     0(0)	    28(0)	     0(0)	
  +u_W0_FIFO_32:W0_FIFO_32                                  	      84(0)	      22(0)	      47(0)	      66(0)	     0(0)	    16(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_86fdad8fd5cf42519e2204399d3b6af7_renamed_due_excessive_length_2	      84(4)	      22(0)	      47(0)	      66(0)	     0(0)	    16(0)	     0(0)	
    +xefx_fifo_ram:efx_fifo_ram_86fdad8fd5cf42519e2204399d3b6af7(MODE="FWFT",WR_DEPTH=4096,RD_DEPTH=1024,WDATA_WIDTH=32,RDATA_WIDTH=128,WADDR_WIDTH=12,RADDR_WIDTH=10,OUTPUT_REG=0)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	   16(16)	     0(0)	
    +xefx_fifo_ctl:efx_fifo_ctl_86fdad8fd5cf42519e2204399d3b6af7_renamed_due_excessive_length_3	     80(80)	      22(0)	     47(47)	     66(26)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_86fdad8fd5cf42519e2204399d3b6af7(WIDTH=11)	       0(0)	       0(0)	       0(0)	     10(10)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_86fdad8fd5cf42519e2204399d3b6af7(STAGE=3,WIDTH=11)	       0(0)	     11(11)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_86fdad8fd5cf42519e2204399d3b6af7(WIDTH=11)	       0(0)	       0(0)	       0(0)	      10(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_86fdad8fd5cf42519e2204399d3b6af7(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_86fdad8fd5cf42519e2204399d3b6af7(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_86fdad8fd5cf42519e2204399d3b6af7(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_86fdad8fd5cf42519e2204399d3b6af7(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_86fdad8fd5cf42519e2204399d3b6af7(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_86fdad8fd5cf42519e2204399d3b6af7	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_86fdad8fd5cf42519e2204399d3b6af7(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_86fdad8fd5cf42519e2204399d3b6af7(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_86fdad8fd5cf42519e2204399d3b6af7(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_86fdad8fd5cf42519e2204399d3b6af7(WIDTH=13)	       0(0)	       0(0)	       0(0)	     10(10)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_addr_sync:efx_fifo_datasync_86fdad8fd5cf42519e2204399d3b6af7(STAGE=3,WIDTH=13)	       0(0)	     11(11)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_86fdad8fd5cf42519e2204399d3b6af7(WIDTH=13)	       0(0)	       0(0)	       0(0)	      10(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_86fdad8fd5cf42519e2204399d3b6af7(WIDTH=12)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_86fdad8fd5cf42519e2204399d3b6af7(WIDTH=11)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_86fdad8fd5cf42519e2204399d3b6af7(WIDTH=10)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_86fdad8fd5cf42519e2204399d3b6af7(WIDTH=9)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_86fdad8fd5cf42519e2204399d3b6af7(WIDTH=8)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_86fdad8fd5cf42519e2204399d3b6af7(WIDTH=7)	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_86fdad8fd5cf42519e2204399d3b6af7(WIDTH=6)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_86fdad8fd5cf42519e2204399d3b6af7	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_86fdad8fd5cf42519e2204399d3b6af7(WIDTH=4)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
  +u_R0_FIFO_32:R0_FIFO_32                                  	      84(0)	      22(0)	      34(0)	      67(0)	     0(0)	    12(0)	     0(0)	
   +u_efx_fifo_top:efx_fifo_top_ff3db65294a049509cbcec151351ef12_renamed_due_excessive_length_4	      84(4)	      22(0)	      34(0)	      67(0)	     0(0)	    12(0)	     0(0)	
