sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 23, 2024 17:44:31

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
     +u_divider:divider_570d993e5fb64d11900c366fe0e2a2eb(WIDTHN=27,WIDTHD=12,LATENCY=27,PIPELINE=1'b0)	     93(93)	       0(0)	     57(57)	     82(82)	     0(0)	     0(0)	     0(0)	
    +u_my16bram:my16bram                                    	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	    32(0)	     0(0)	
     +u11_my_bram_ip:my_bram_ip                             	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
      +u_efx_bram:efx_bram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
       +genblk1.tdpram_inst:efx_true_dual_port_ram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
        +brams:dpram_wrapper_mwm_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
         +scan_row.row[0].column[0].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
         +scan_row.row[0].column[1].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_11	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
     +u12_my_bram_ip:my_bram_ip                             	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
      +u_efx_bram:efx_bram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
       +genblk1.tdpram_inst:efx_true_dual_port_ram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
        +brams:dpram_wrapper_mwm_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
         +scan_row.row[0].column[0].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
         +scan_row.row[0].column[1].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_11	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
     +u13_my_bram_ip:my_bram_ip                             	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
      +u_efx_bram:efx_bram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
       +genblk1.tdpram_inst:efx_true_dual_port_ram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
        +brams:dpram_wrapper_mwm_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
         +scan_row.row[0].column[0].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
         +scan_row.row[0].column[1].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_11	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
     +u14_my_bram_ip:my_bram_ip                             	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
      +u_efx_bram:efx_bram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
       +genblk1.tdpram_inst:efx_true_dual_port_ram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
        +brams:dpram_wrapper_mwm_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
         +scan_row.row[0].column[0].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
         +scan_row.row[0].column[1].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_11	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
     +u21_my_bram_ip:my_bram_ip                             	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
      +u_efx_bram:efx_bram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
       +genblk1.tdpram_inst:efx_true_dual_port_ram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
        +brams:dpram_wrapper_mwm_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
         +scan_row.row[0].column[0].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
         +scan_row.row[0].column[1].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_11	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
     +u22_my_bram_ip:my_bram_ip                             	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
      +u_efx_bram:efx_bram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
       +genblk1.tdpram_inst:efx_true_dual_port_ram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
        +brams:dpram_wrapper_mwm_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
         +scan_row.row[0].column[0].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
         +scan_row.row[0].column[1].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_11	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
     +u23_my_bram_ip:my_bram_ip                             	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
      +u_efx_bram:efx_bram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
       +genblk1.tdpram_inst:efx_true_dual_port_ram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
        +brams:dpram_wrapper_mwm_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
         +scan_row.row[0].column[0].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
         +scan_row.row[0].column[1].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_11	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
     +u24_my_bram_ip:my_bram_ip                             	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
      +u_efx_bram:efx_bram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
       +genblk1.tdpram_inst:efx_true_dual_port_ram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
        +brams:dpram_wrapper_mwm_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
         +scan_row.row[0].column[0].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
         +scan_row.row[0].column[1].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_11	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
     +u31_my_bram_ip:my_bram_ip                             	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
      +u_efx_bram:efx_bram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
       +genblk1.tdpram_inst:efx_true_dual_port_ram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
        +brams:dpram_wrapper_mwm_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
         +scan_row.row[0].column[0].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
         +scan_row.row[0].column[1].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_11	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
     +u32_my_bram_ip:my_bram_ip                             	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
      +u_efx_bram:efx_bram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
       +genblk1.tdpram_inst:efx_true_dual_port_ram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
        +brams:dpram_wrapper_mwm_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
         +scan_row.row[0].column[0].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
         +scan_row.row[0].column[1].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_11	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
     +u33_my_bram_ip:my_bram_ip                             	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
      +u_efx_bram:efx_bram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
       +genblk1.tdpram_inst:efx_true_dual_port_ram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
        +brams:dpram_wrapper_mwm_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
         +scan_row.row[0].column[0].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
         +scan_row.row[0].column[1].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_11	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
     +u34_my_bram_ip:my_bram_ip                             	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
      +u_efx_bram:efx_bram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
       +genblk1.tdpram_inst:efx_true_dual_port_ram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
        +brams:dpram_wrapper_mwm_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
         +scan_row.row[0].column[0].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
         +scan_row.row[0].column[1].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_11	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
     +u41_my_bram_ip:my_bram_ip                             	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
      +u_efx_bram:efx_bram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
       +genblk1.tdpram_inst:efx_true_dual_port_ram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
        +brams:dpram_wrapper_mwm_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
         +scan_row.row[0].column[0].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
         +scan_row.row[0].column[1].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_11	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
     +u42_my_bram_ip:my_bram_ip                             	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
      +u_efx_bram:efx_bram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
       +genblk1.tdpram_inst:efx_true_dual_port_ram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
        +brams:dpram_wrapper_mwm_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
         +scan_row.row[0].column[0].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
         +scan_row.row[0].column[1].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_11	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
     +u43_my_bram_ip:my_bram_ip                             	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
      +u_efx_bram:efx_bram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
       +genblk1.tdpram_inst:efx_true_dual_port_ram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
        +brams:dpram_wrapper_mwm_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
         +scan_row.row[0].column[0].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
         +scan_row.row[0].column[1].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_11	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
     +u44_my_bram_ip:my_bram_ip                             	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
      +u_efx_bram:efx_bram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
       +genblk1.tdpram_inst:efx_true_dual_port_ram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
        +brams:dpram_wrapper_mwm_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
         +scan_row.row[0].column[0].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
         +scan_row.row[0].column[1].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_11	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
    +u_asyn_fifo:asyn_fifo                                  	      40(0)	      10(0)	       7(0)	      46(0)	     0(0)	     1(0)	     0(0)	
     +u_efx_fifo_top:efx_fifo_top_c84015ee5497484aa8597c8b2c36e3da_renamed_due_excessive_length_12	      40(4)	      10(0)	       7(0)	      46(0)	     0(0)	     1(0)	     0(0)	
      +xefx_fifo_ram:efx_fifo_ram_c84015ee5497484aa8597c8b2c36e3da(FAMILY="TITANIUM",MODE="FWFT",WR_DEPTH=16,RD_DEPTH=16,WDATA_WIDTH=11,RDATA_WIDTH=11,WADDR_WIDTH=4,RADDR_WIDTH=4,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	     10(10)	     0(0)	     1(1)	     0(0)	
      +xefx_fifo_ctl:efx_fifo_ctl_c84015ee5497484aa8597c8b2c36e3da_renamed_due_excessive_length_13	     36(36)	      10(0)	       7(7)	     36(21)	     0(0)	     0(0)	     0(0)	
       +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_c84015ee5497484aa8597c8b2c36e3da	       0(0)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
       +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_c84015ee5497484aa8597c8b2c36e3da(STAGE=2,WIDTH=5)	       0(0)	       5(5)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_c84015ee5497484aa8597c8b2c36e3da	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_c84015ee5497484aa8597c8b2c36e3da(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_c84015ee5497484aa8597c8b2c36e3da(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_c84015ee5497484aa8597c8b2c36e3da(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
       +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_c84015ee5497484aa8597c8b2c36e3da	       0(0)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
       +genblk7.wr2rd_addr_sync:efx_fifo_datasync_c84015ee5497484aa8597c8b2c36e3da(STAGE=2,WIDTH=5)	       0(0)	       5(5)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
       +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_c84015ee5497484aa8597c8b2c36e3da	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_c84015ee5497484aa8597c8b2c36e3da(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_c84015ee5497484aa8597c8b2c36e3da(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_c84015ee5497484aa8597c8b2c36e3da(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
   +green_interp:bicubic_interpolation                      	  1188(963)	   294(284)	   595(474)	 1556(1349)	     0(0)	    33(0)	   24(24)	
    +ux_divider_ip:divider_ip                               	      92(0)	       0(0)	      57(0)	      82(0)	     0(0)	     0(0)	     0(0)	
     +u_divider:divider_570d993e5fb64d11900c366fe0e2a2eb(WIDTHN=27,WIDTHD=12,LATENCY=27,PIPELINE=1'b0)	     92(92)	       0(0)	     57(57)	     82(82)	     0(0)	     0(0)	     0(0)	
    +uy_divider_ip:divider_ip                               	      93(0)	       0(0)	      57(0)	      82(0)	     0(0)	     0(0)	     0(0)	
     +u_divider:divider_570d993e5fb64d11900c366fe0e2a2eb(WIDTHN=27,WIDTHD=12,LATENCY=27,PIPELINE=1'b0)	     93(93)	       0(0)	     57(57)	     82(82)	     0(0)	     0(0)	     0(0)	
    +u_my16bram:my16bram                                    	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	    32(0)	     0(0)	
     +u11_my_bram_ip:my_bram_ip                             	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
      +u_efx_bram:efx_bram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
       +genblk1.tdpram_inst:efx_true_dual_port_ram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
        +brams:dpram_wrapper_mwm_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
         +scan_row.row[0].column[0].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
         +scan_row.row[0].column[1].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_11	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
     +u12_my_bram_ip:my_bram_ip                             	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
      +u_efx_bram:efx_bram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
       +genblk1.tdpram_inst:efx_true_dual_port_ram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
        +brams:dpram_wrapper_mwm_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
         +scan_row.row[0].column[0].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
         +scan_row.row[0].column[1].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_11	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
     +u13_my_bram_ip:my_bram_ip                             	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
      +u_efx_bram:efx_bram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
       +genblk1.tdpram_inst:efx_true_dual_port_ram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
        +brams:dpram_wrapper_mwm_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
         +scan_row.row[0].column[0].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
         +scan_row.row[0].column[1].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_11	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
     +u14_my_bram_ip:my_bram_ip                             	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
      +u_efx_bram:efx_bram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
       +genblk1.tdpram_inst:efx_true_dual_port_ram_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_7	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
        +brams:dpram_wrapper_mwm_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     2(0)	     0(0)	
         +scan_row.row[0].column[0].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
         +scan_row.row[0].column[1].bram:dpbram_primitive_e8873703bea64aebb6bf5809d42941ad_renamed_due_excessive_length_11	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
