sep=\t
Module Resource Usage Distribution Estimates
Generated at: Oct 07, 2024 15:23:52

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ac9a970141f64bf9914e9a48d4957631(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ac9a970141f64bf9914e9a48d4957631	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
              +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ac9a970141f64bf9914e9a48d4957631(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
               +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ac9a970141f64bf9914e9a48d4957631(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
                +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_ac9a970141f64bf9914e9a48d4957631(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
 +rgb_biliner_u:rgb_biliner                                 	   2838(26)	      88(0)	    1280(0)	    1516(0)	     0(0)	    81(0)	    36(0)	
  +red_interp:bilinear_interpolation                        	   924(663)	      30(2)	   420(264)	   499(252)	     0(0)	    27(0)	   12(12)	
   +ux_divider_ip:divider_ip                                	      92(0)	       0(0)	      57(0)	      81(0)	     0(0)	     0(0)	     0(0)	
    +u_divider:divider_9537ff6f30ef403b9e2edbf97aa62a86(WIDTHN=27,WIDTHD=12,LATENCY=27,PIPELINE=1'b0)	     92(92)	       0(0)	     57(57)	     81(81)	     0(0)	     0(0)	     0(0)	
   +uy_divider_ip:divider_ip                                	      66(0)	       0(0)	      57(0)	      78(0)	     0(0)	     0(0)	     0(0)	
    +u_divider:divider_9537ff6f30ef403b9e2edbf97aa62a86(WIDTHN=27,WIDTHD=12,LATENCY=27,PIPELINE=1'b0)	     66(66)	       0(0)	     57(57)	     78(78)	     0(0)	     0(0)	     0(0)	
   +u1_my_bram_ip:my_bram_ip                                	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
    +u_efx_bram:efx_bram_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_3	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
     +genblk1.tdpram_inst:efx_true_dual_port_ram_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_4	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
      +brams:dpram_wrapper_mwm_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_5	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
       +scan_row.row[0].column[0].bram:dpbram_primitive_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_6	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[1].bram:dpbram_primitive_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_8	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[2].bram:dpbram_primitive_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_9	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
       +scan_row.row[0].column[3].bram:dpbram_primitive_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_10	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     1(1)	     0(0)	
   +u2_my_bram_ip:my_bram_ip                                	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
    +u_efx_bram:efx_bram_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_3	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
     +genblk1.tdpram_inst:efx_true_dual_port_ram_f656f5dedc9e468aafbbd8c29bccb0b0_renamed_due_excessive_length_4	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     4(0)	     0(0)	
